zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
UI18-02A-93,UI18-02A,Orca group,PWS,54.55248344,1.957903042,63.1,10.45261389,1.357500645
UI18-02A-76,UI18-02A,Orca group,PWS,54.55248344,1.957903042,63.3,11.21763848,1.038194815
UI18-02A-61,UI18-02A,Orca group,PWS,54.55248344,1.957903042,63.9,-3.430977493,1.179570788
UI18-02A-30,UI18-02A,Orca group,PWS,54.55248344,1.957903042,64.2,0.350723162,0.793737671
UI18-02A-100,UI18-02A,Orca group,PWS,54.55248344,1.957903042,64.4,7.198103776,1.061283939
UI18-02A-73,UI18-02A,Orca group,PWS,54.55248344,1.957903042,64.6,9.379610401,0.810278904
UI18-02A-82,UI18-02A,Orca group,PWS,54.55248344,1.957903042,64.7,0.334160771,1.892153008
UI18-02A-53,UI18-02A,Orca group,PWS,54.55248344,1.957903042,70.9,8.873578254,0.664853907
UI18-02A-106,UI18-02A,Orca group,PWS,54.55248344,1.957903042,71.2,9.851418549,0.832017802
UI18-02A-47,UI18-02A,Orca group,PWS,54.55248344,1.957903042,71.4,0.404801074,0.840069781
UI18-02A-33,UI18-02A,Orca group,PWS,54.55248344,1.957903042,71.4,5.633973077,0.926111523
UI18-02A-74,UI18-02A,Orca group,PWS,54.55248344,1.957903042,71.8,2.329137756,0.997166826
UI18-02A-18,UI18-02A,Orca group,PWS,54.55248344,1.957903042,71.9,7.125391294,0.873982969
UI18-02A-06,UI18-02A,Orca group,PWS,54.55248344,1.957903042,71.9,12.04367674,1.162079115
UI18-02A-52,UI18-02A,Orca group,PWS,54.55248344,1.957903042,72.1,4.413521178,0.853053753
UI18-02A-02,UI18-02A,Orca group,PWS,54.55248344,1.957903042,72.4,1.673199311,1.806042269
UI18-02A-31,UI18-02A,Orca group,PWS,54.55248344,1.957903042,72.6,4.807625556,0.953876654
UI18-02A-95,UI18-02A,Orca group,PWS,54.55248344,1.957903042,72.6,4.783551728,0.943302838
UI18-02A-98,UI18-02A,Orca group,PWS,54.55248344,1.957903042,79.5,1.70693636,1.052560873
UI18-02A-43,UI18-02A,Orca group,PWS,54.55248344,1.957903042,79.5,12.30780082,0.922716765
